show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,platform
s1244,movie,the adventures of ichabod and mr. toad,"Jack Kinney, Clyde Geronimi, James Algar","Bing Crosby, Basil Rathbone, Eric Blore, Pat O'Malley, John Ployardt, Colin Campbell",United States,2019-11-12,1949,G,69 min,"Action-Adventure, Animation, Anthology",Enjoy two classic stories with Toad's Wild Ride and the Headless Horseman.,2019.0,11.0,Disney
s13,movie,the pixar story,Leslie Iwerks,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",United States,2021-11-19,2007,G,91 min,"Documentary, Family",A groundbreaking company forever changes the face of filmmaking.,2021.0,11.0,Disney
s141,movie,mrs. doubtfire,Chris Columbus,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Polly Holliday, Lisa Jakub",United States,2021-08-06,1993,PG-13,126 min,"Comedy, Drama",An eccentric dad dresses as a British nanny so he can care for his kids at the home of their mother.,2021.0,8.0,Disney
s221,movie,tinker bell and the legend of the neverbeast,Steve Loter,"Ginnifer Goodwin, Mae Whitman, Rosario Dawson, Lucy Liu, Raven-Symoné , Megan Hilty",United States,2021-05-21,2014,G,79 min,"Action-Adventure, Animation, Fantasy",Tink and her friends risk everything to rescue the mysterious NeverBeast.,2021.0,5.0,Disney
s483,movie,ice age: collision course,Mike Thurmeier,"Ray Romano, John Leguizamo, Denis Leary, Adam Devine, Jesse Ferguson, Max Greenfield","United States, United Kingdom, Australia",2020-07-03,2016,PG,97 min,"Action-Adventure, Animation, Comedy","When their world is threatened, Manny and friends go on a quest to survive the Scrat-tastrophe!",2020.0,7.0,Disney
s946,movie,home on the range,"Will Finn, John Sanford","Roseanne Barr, Judi Dench, Jennifer Tilly, Steve Buscemi, G.W. Bailey, Cuba Gooding Jr.",United States,2019-11-12,2004,PG,82 min,"Animation, Comedy, Family",A corral of critters join forces to save their farm from a band of outlaws.,2019.0,11.0,Disney
s1324,movie,the princess diaries 2: royal engagement,Garry Marshall,"Anne Hathaway, Heather Matarazzo, John Rhys-Davies, Chris Pine, Callum Blue, Kathleen Marshall",United States,2019-11-12,2004,G,114 min,"Comedy, Family, Romance",Princess Mia has 30 days to find a husband... or she can't become queen.,2019.0,11.0,Disney
s82,movie,alvin and the chipmunks: the road chip,Walt Becker,"Jason Lee, Tony Hale, Kimberly Williams-Paisley, Josh Green, Bella Thorne, Uzo Aduba",United States,2021-10-01,2015,PG,92 min,"Comedy, Family, Music","Your favorite fur balls, the Chipmunks, hit the road for an all-new, music-filled adventure.",2021.0,10.0,Disney
s305,movie,disney my music story: yoshiki,Kentaro Takayanagi,YOSHIKI,"United States, Japan",2021-02-05,2019,TV-PG,48 min,"Biographical, Documentary, Music",Yoshiki from “X Japan” performs two Disney songs and talks about his music.,2021.0,2.0,Disney
s524,movie,"hello, dolly!",Gene Kelly,"Barbara Streisand, Walter Matthau, Michael Crawford, Marianne McAndrew, Danny Lockin, E.J. Peaker",United States,2020-05-22,1969,G,147 min,"Comedy, Musical, Romance",Matchmaker Dolly Levi orchestrates the love lives of her friends while trying to figure out her own.,2020.0,5.0,Disney
